node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABP1	SLA1	4932.YCR088W	4932.YBL007C	0	0	0	0	0	0.802	0	0.946	0.988
ABP1	APL3	4932.YCR088W	4932.YBL037W	0	0	0	0	0	0.068	0.6	0.377	0.747
ABP1	EDE1	4932.YCR088W	4932.YBL047C	0	0	0	0	0	0.372	0.8	0.781	0.97
ABP1	ARC40	4932.YCR088W	4932.YBR234C	0	0	0	0	0	0	0.6	0.621	0.841
ABP1	RVS161	4932.YCR088W	4932.YCR009C	0	0	0	0	0	0.315	0	0.935	0.953
ABP1	BUD6	4932.YCR088W	4932.YLR319C	0	0	0	0	0	0	0	0.759	0.759
ABP1	PIN3	4932.YCR088W	4932.YPR154W	0	0	0	0	0	0.082	0.487	0.53	0.759
ABP1	ENT1	4932.YCR088W	4932.YDL161W	0	0	0	0	0	0	0	0.767	0.767
ABP1	YAP1802	4932.YCR088W	4932.YGR241C	0	0	0	0	0	0	0.6	0.45	0.77
ABP1	BNI1	4932.YCR088W	4932.YNL271C	0	0	0	0	0	0.046	0	0.789	0.79
ABP1	LSB3	4932.YCR088W	4932.YFR024C-A	0	0	0	0	0	0.337	0	0.727	0.811
ABP1	ARC19	4932.YCR088W	4932.YKL013C	0	0	0	0	0	0.092	0.6	0.515	0.808
ABP1	BBC1	4932.YCR088W	4932.YJL020C	0	0	0	0	0	0	0	0.822	0.822
ABP1	LSB1	4932.YCR088W	4932.YGR136W	0	0	0	0	0	0.082	0.487	0.695	0.843
ABP1	SWA2	4932.YCR088W	4932.YDR320C	0	0	0	0	0	0.201	0.8	0.124	0.847
ABP1	ARC18	4932.YCR088W	4932.YLR370C	0	0	0	0	0	0.136	0.6	0.61	0.853
ABP1	YAP1801	4932.YCR088W	4932.YHR161C	0	0	0	0	0	0	0.6	0.692	0.871
ABP1	CRN1	4932.YCR088W	4932.YLR429W	0	0	0	0	0	0.064	0	0.86	0.863
ABP1	CDC42	4932.YCR088W	4932.YLR229C	0	0	0	0	0	0.043	0	0.89	0.89
ABP1	CLC1	4932.YCR088W	4932.YGR167W	0	0	0	0	0	0.059	0.6	0.756	0.9
ABP1	YSC84	4932.YCR088W	4932.YHR016C	0	0	0	0	0	0.447	0	0.831	0.902
ABP1	ARC15	4932.YCR088W	4932.YIL062C	0	0	0	0	0	0	0.3	0.875	0.908
ABP1	END3	4932.YCR088W	4932.YNL084C	0	0	0	0	0	0.082	0.6	0.827	0.931
ABP1	PFY1	4932.YCR088W	4932.YOR122C	0	0	0	0	0	0.081	0	0.939	0.942
ABP1	MYO3	4932.YCR088W	4932.YKL129C	0	0	0	0	0	0.193	0	0.935	0.946
