node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABD1	TFB4	4932.YBR236C	4932.YPR056W	0	0	0	0	0	0	0.5	0.501	0.74
ABD1	SGV1	4932.YBR236C	4932.YPR161C	0	0	0	0	0	0.296	0	0.664	0.753
ABD1	CBC2	4932.YBR236C	4932.YPL178W	0	0	0	0	0	0	0.54	0.486	0.753
ABD1	RPB2	4932.YBR236C	4932.YOR151C	0	0	0	0	0	0.605	0.5	0.047	0.795
ABD1	KIN28	4932.YBR236C	4932.YDL108W	0	0	0	0	0	0.057	0.5	0.697	0.844
ABD1	RPO21	4932.YBR236C	4932.YDL140C	0	0	0	0	0	0.62	0.5	0.432	0.882
ABD1	SPT5	4932.YBR236C	4932.YML010W	0	0	0	0	0	0.704	0.8	0.628	0.976
ABD1	CEG1	4932.YBR236C	4932.YGL130W	0	0	0	0	0	0.19	0.92	0.968	0.997
ACT1	CDC15	4932.YFL039C	4932.YAR019C	0	0	0	0	0	0.156	0	0.715	0.749
ACT1	HTA2	4932.YFL039C	4932.YBL003C	0	0	0	0	0	0.849	0	0.151	0.866
ACT1	HHF1	4932.YFL039C	4932.YBR009C	0	0	0	0	0	0.91	0	0.669	0.969
ACT1	HHT1	4932.YFL039C	4932.YBR010W	0	0	0	0	0	0.91	0	0.907	0.991
ACT1	CDC28	4932.YFL039C	4932.YBR160W	0	0	0	0	0	0.122	0	0.901	0.909
ACT1	CHK1	4932.YFL039C	4932.YBR274W	0	0	0	0	0	0.057	0	0.833	0.836
ACT1	NHP10	4932.YFL039C	4932.YDL002C	0	0	0	0	0	0.85	0.9	0.487	0.991
ACT1	RVB1	4932.YFL039C	4932.YDR190C	0	0	0	0	0	0.906	0.9	0.901	0.998
ACT1	HTB1	4932.YFL039C	4932.YDR224C	0	0	0	0	0	0.566	0	0.58	0.81
ACT1	IES6	4932.YFL039C	4932.YEL044W	0	0	0	0	0	0.849	0.72	0.395	0.972
ACT1	BIM1	4932.YFL039C	4932.YER016W	0	0	0	0	0	0.13	0	0.769	0.79
ACT1	IES5	4932.YFL039C	4932.YER092W	0	0	0	0	0	0.796	0.72	0.26	0.954
ACT1	IES1	4932.YFL039C	4932.YFL013C	0	0	0	0	0	0.835	0.9	0.393	0.989
ACT1	TUB2	4932.YFL039C	4932.YFL037W	0	0	0	0	0	0.344	0	0.981	0.987
ACT1	HSH155	4932.YFL039C	4932.YMR288W	0	0	0	0	0	0.597	0	0.294	0.703
ACT1	DBF2	4932.YFL039C	4932.YGR092W	0	0	0	0	0	0.238	0	0.636	0.711
ACT1	ARP9	4932.YFL039C	4932.YMR033W	0	0	0	0	0	0.103	0.4	0.51	0.713
ACT1	DBP5	4932.YFL039C	4932.YOR046C	0	0	0	0	0	0	0	0.759	0.759
ACT1	SLT2	4932.YFL039C	4932.YHR030C	0	0	0	0	0	0.341	0	0.667	0.771
ACT1	SWE1	4932.YFL039C	4932.YJL187C	0	0	0	0	0	0.072	0	0.778	0.785
ACT1	CSE4	4932.YFL039C	4932.YKL049C	0	0	0	0	0	0.474	0	0.481	0.715
ACT1	ARP7	4932.YFL039C	4932.YPR034W	0	0	0	0.612	0	0.404	0.54	0.296	0.79
ACT1	STH1	4932.YFL039C	4932.YIL126W	0	0	0	0	0	0.657	0	0.503	0.822
ACT1	TUB3	4932.YFL039C	4932.YML124C	0	0	0	0	0	0.342	0.4	0.653	0.851
ACT1	HTZ1	4932.YFL039C	4932.YOL012C	0	0	0	0	0	0.807	0	0.549	0.909
ACT1	DYN1	4932.YFL039C	4932.YKR054C	0	0	0	0	0	0.309	0	0.876	0.911
ACT1	SNF2	4932.YFL039C	4932.YOR290C	0	0	0	0	0	0.668	0	0.758	0.916
ACT1	TUB1	4932.YFL039C	4932.YML085C	0	0	0	0	0	0.436	0.4	0.654	0.873
ACT1	KAR9	4932.YFL039C	4932.YPL269W	0	0	0	0	0	0.046	0	0.93	0.93
ACT1	HHF2	4932.YFL039C	4932.YNL030W	0	0	0	0	0	0.852	0	0.669	0.949
ACT1	JNM1	4932.YFL039C	4932.YMR294W	0	0	0	0	0	0.906	0	0.599	0.961
ACT1	EAF3	4932.YFL039C	4932.YPR023C	0	0	0	0	0	0.674	0.9	0.151	0.969
ACT1	BDF1	4932.YFL039C	4932.YLR399C	0	0	0	0	0	0.812	0.9	0.36	0.986
ACT1	ARP5	4932.YFL039C	4932.YNL059C	0	0	0	0.646	0	0.857	0.9	0.23	0.988
ACT1	IES3	4932.YFL039C	4932.YLR052W	0	0	0	0	0	0.822	0.9	0.414	0.988
ACT1	HHT2	4932.YFL039C	4932.YNL031C	0	0	0	0	0	0.851	0	0.907	0.985
ACT1	TAF14	4932.YFL039C	4932.YPL129W	0	0	0	0	0	0.852	0.9	0.682	0.994
ACT1	EAF6	4932.YFL039C	4932.YJR082C	0	0	0	0	0	0.947	0.9	0.158	0.995
ACT1	YNG2	4932.YFL039C	4932.YHR090C	0	0	0	0	0	0.946	0.9	0.189	0.995
ACT1	MYO2	4932.YFL039C	4932.YOR326W	0	0	0	0	0	0.882	0	0.989	0.998
ACT1	ESA1	4932.YFL039C	4932.YOR244W	0	0	0	0	0	0.98	0.9	0.19	0.998
ACT1	IES4	4932.YFL039C	4932.YOR189W	0	0	0	0	0	0.982	0.9	0.614	0.999
ACT1	RVB2	4932.YFL039C	4932.YPL235W	0	0	0	0	0	0.902	0.9	0.905	0.998
ACT1	ARP8	4932.YFL039C	4932.YOR141C	0	0	0	0	0	0.998	0.72	0.501	0.999
ACT1	INO80	4932.YFL039C	4932.YGL150C	0	0	0	0	0	0.992	0.9	0.335	0.999
ACT1	ARP4	4932.YFL039C	4932.YJL081C	0	0	0	0.734	0	0.998	0.9	0.836	0.999
ACT1	SWC4	4932.YFL039C	4932.YGR002C	0	0	0	0	0	0.986	0.9	0.664	0.999
ARP4	HTA2	4932.YJL081C	4932.YBL003C	0	0	0	0	0	0.941	0	0.058	0.942
ARP4	HHF1	4932.YJL081C	4932.YBR009C	0	0	0	0	0	0.942	0	0.227	0.953
ARP4	HHT1	4932.YJL081C	4932.YBR010W	0	0	0	0	0	0.953	0	0.299	0.966
ARP4	SNF5	4932.YJL081C	4932.YBR289W	0	0	0	0	0	0.906	0.54	0.323	0.968
ARP4	NHP10	4932.YJL081C	4932.YDL002C	0	0	0	0	0	0.853	0.9	0.82	0.997
ARP4	RVB1	4932.YJL081C	4932.YDR190C	0	0	0	0	0	0.941	0.9	0.96	0.999
ARP4	HTA1	4932.YJL081C	4932.YDR225W	0	0	0	0	0	0.726	0	0.058	0.731
ARP4	IES6	4932.YJL081C	4932.YEL044W	0	0	0	0	0	0.818	0.72	0.822	0.99
ARP4	IES5	4932.YJL081C	4932.YER092W	0	0	0	0	0	0.766	0.72	0.699	0.978
ARP4	IES1	4932.YJL081C	4932.YFL013C	0	0	0	0	0	0.716	0.9	0.7	0.99
ARP4	INO80	4932.YJL081C	4932.YGL150C	0	0	0	0	0	0.992	0.9	0.168	0.999
ARP4	SWC4	4932.YJL081C	4932.YGR002C	0	0	0	0	0	0.997	0.9	0.93	0.999
ARP4	YNG2	4932.YJL081C	4932.YHR090C	0	0	0	0	0	0.969	0.9	0.686	0.998
ARP4	STH1	4932.YJL081C	4932.YIL126W	0	0	0	0	0	0.909	0	0.314	0.934
ARP4	HHO1	4932.YJL081C	4932.YPL127C	0	0	0	0	0	0.612	0	0.3	0.716
ARP4	RSC2	4932.YJL081C	4932.YLR357W	0	0	0	0	0	0.662	0	0.281	0.746
ARP4	RSC4	4932.YJL081C	4932.YKR008W	0	0	0	0	0	0.706	0	0.281	0.779
ARP4	HHF2	4932.YJL081C	4932.YNL030W	0	0	0	0	0	0.86	0	0.227	0.887
ARP4	HHT2	4932.YJL081C	4932.YNL031C	0	0	0	0	0	0.854	0	0.299	0.893
ARP4	ARP9	4932.YJL081C	4932.YMR033W	0	0	0	0	0	0.377	0.54	0.817	0.943
ARP4	HTZ1	4932.YJL081C	4932.YOL012C	0	0	0	0	0	0.883	0	0.489	0.938
ARP4	SNF12	4932.YJL081C	4932.YNR023W	0	0	0	0	0	0.816	0.54	0.397	0.944
ARP4	SWI3	4932.YJL081C	4932.YJL176C	0	0	0	0	0	0.815	0.54	0.619	0.964
ARP4	BDF1	4932.YJL081C	4932.YLR399C	0	0	0	0	0	0.596	0.9	0.471	0.976
ARP4	SNF2	4932.YJL081C	4932.YOR290C	0	0	0	0	0	0.916	0.54	0.492	0.978
ARP4	IES3	4932.YJL081C	4932.YLR052W	0	0	0	0	0	0.756	0.9	0.693	0.991
ARP4	TAF14	4932.YJL081C	4932.YPL129W	0	0	0	0	0	0.786	0.9	0.692	0.992
ARP4	EAF3	4932.YJL081C	4932.YPR023C	0	0	0	0	0	0.868	0.9	0.619	0.994
ARP4	ARP5	4932.YJL081C	4932.YNL059C	0	0	0	0	0	0.871	0.9	0.816	0.997
ARP4	EAF6	4932.YJL081C	4932.YJR082C	0	0	0	0	0	0.948	0.9	0.721	0.998
ARP4	ESA1	4932.YJL081C	4932.YOR244W	0	0	0	0	0	0.987	0.9	0.453	0.999
ARP4	ARP8	4932.YJL081C	4932.YOR141C	0	0	0	0	0	0.998	0.72	0.771	0.999
ARP4	RVB2	4932.YJL081C	4932.YPL235W	0	0	0	0	0	0.931	0.9	0.958	0.999
ARP4	IES4	4932.YJL081C	4932.YOR189W	0	0	0	0	0	0.978	0.9	0.7	0.999
ARP5	HTB2	4932.YNL059C	4932.YBL002W	0	0	0	0	0	0.79	0	0.049	0.791
ARP5	HTA2	4932.YNL059C	4932.YBL003C	0	0	0	0	0	0.803	0	0	0.803
ARP5	HHT1	4932.YNL059C	4932.YBR010W	0	0	0	0	0	0.785	0	0.111	0.8
ARP5	NHP10	4932.YNL059C	4932.YDL002C	0	0	0	0	0	0.755	0.9	0.72	0.992
ARP5	RVB1	4932.YNL059C	4932.YDR190C	0	0	0	0	0	0.993	0.9	0.815	0.999
ARP5	HTB1	4932.YNL059C	4932.YDR224C	0	0	0	0	0	0.916	0	0.049	0.917
ARP5	HTA1	4932.YNL059C	4932.YDR225W	0	0	0	0	0	0.84	0	0	0.84
ARP5	IES6	4932.YNL059C	4932.YEL044W	0	0	0	0	0	0.991	0.72	0.9	0.999
