node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BIM1	BUD14	4932.YER016W	4932.YAR014C	0	0	0	0	0.044	0.25	0	0.318	0.468
BIM1	HHT1	4932.YER016W	4932.YBR010W	0	0	0	0	0.114	0.273	0	0.205	0.443
BIM1	NUM1	4932.YER016W	4932.YDR150W	0	0	0	0	0.055	0.652	0	0.809	0.931
BIM1	SWE1	4932.YER016W	4932.YJL187C	0	0	0	0	0.058	0.428	0	0.132	0.491
BIM1	NDC80	4932.YER016W	4932.YIL144W	0	0	0	0	0.052	0.187	0	0.448	0.538
BIM1	IPL1	4932.YER016W	4932.YPL209C	0	0	0	0	0.094	0.846	0	0.855	0.978
BUD14	SWE1	4932.YAR014C	4932.YJL187C	0	0	0	0	0.067	0.455	0	0.131	0.519
BUD14	KEL1	4932.YAR014C	4932.YHR158C	0	0	0	0	0.05	0.844	0.9	0.986	0.999
BUD14	KEL2	4932.YAR014C	4932.YGR238C	0	0	0	0	0	0.663	0.9	0.987	0.999
CEF1	NPL3	4932.YMR213W	4932.YDR432W	0	0	0	0	0.051	0.962	0	0.13	0.965
CEF1	SPT16	4932.YMR213W	4932.YGL207W	0	0	0	0	0.404	0	0	0	0.404
CLB2	HHT1	4932.YPR119W	4932.YBR010W	0	0	0	0	0.112	0.062	0	0.376	0.435
CLB2	MEC1	4932.YPR119W	4932.YBR136W	0	0	0	0	0.063	0.994	0	0.592	0.997
CLB2	DUN1	4932.YPR119W	4932.YDL101C	0	0	0	0	0.108	0.086	0	0.351	0.425
CLB2	DBF4	4932.YPR119W	4932.YDR052C	0	0	0	0	0.084	0.101	0	0.477	0.532
CLB2	KEL1	4932.YPR119W	4932.YHR158C	0	0	0	0	0.065	0.62	0	0.269	0.717
CLB2	NDC80	4932.YPR119W	4932.YIL144W	0	0	0	0	0.409	0.09	0	0.103	0.475
CLB2	SWE1	4932.YPR119W	4932.YJL187C	0	0	0	0	0.213	0.995	0.9	0.92	0.999
CLB2	SWI6	4932.YPR119W	4932.YLR182W	0	0	0	0	0.088	0.263	0	0.761	0.826
CLB2	MCM5	4932.YPR119W	4932.YLR274W	0	0.008	0	0	0.294	0.207	0	0.287	0.566
CLB2	IPL1	4932.YPR119W	4932.YPL209C	0	0	0	0	0.419	0.399	0	0.464	0.797
DBF4	HHT1	4932.YDR052C	4932.YBR010W	0	0	0	0	0.05	0.3	0	0.555	0.678
DBF4	MEC1	4932.YDR052C	4932.YBR136W	0	0	0	0	0.07	0.634	0	0.842	0.941
DBF4	DUN1	4932.YDR052C	4932.YDL101C	0	0	0	0	0.055	0.318	0	0.924	0.947
DBF4	IPL1	4932.YDR052C	4932.YPL209C	0	0	0	0	0.079	0	0	0.4	0.424
DBF4	SWI6	4932.YDR052C	4932.YLR182W	0	0	0	0	0.088	0.107	0	0.385	0.455
DBF4	SWE1	4932.YDR052C	4932.YJL187C	0	0	0	0	0.066	0.072	0	0.511	0.539
DBF4	DPB11	4932.YDR052C	4932.YJL090C	0	0	0	0	0.09	0.308	0	0.951	0.966
DBF4	MCM10	4932.YDR052C	4932.YIL150C	0	0	0	0	0.058	0.579	0.5	0.947	0.988
DBF4	MCM5	4932.YDR052C	4932.YLR274W	0	0	0	0	0.153	0.935	0.9	0.98	0.999
DPB11	HHT1	4932.YJL090C	4932.YBR010W	0	0	0	0	0	0.073	0	0.402	0.422
DPB11	MEC1	4932.YJL090C	4932.YBR136W	0	0	0	0	0.071	0.964	0	0.912	0.996
DPB11	DUN1	4932.YJL090C	4932.YDL101C	0	0	0	0	0	0.279	0	0.685	0.763
DPB11	MCM10	4932.YJL090C	4932.YIL150C	0	0	0	0	0.091	0.434	0	0.993	0.996
DPB11	MCM5	4932.YJL090C	4932.YLR274W	0	0	0	0	0.209	0.994	0.72	0.786	0.999
DUN1	MEC1	4932.YDL101C	4932.YBR136W	0	0	0	0	0	0.924	0	0.993	0.999
DUN1	MCM10	4932.YDL101C	4932.YIL150C	0	0	0	0	0.174	0.193	0	0.237	0.446
DUN1	HRK1	4932.YDL101C	4932.YOR267C	0	0.002	0.211	0.578	0.117	0.409	0	0.07	0.566
DUN1	SWI6	4932.YDL101C	4932.YLR182W	0	0	0	0	0.058	0.31	0	0.479	0.632
DUN1	MCM5	4932.YDL101C	4932.YLR274W	0	0	0	0	0.433	0.337	0	0.15	0.653
DUN1	SWE1	4932.YDL101C	4932.YJL187C	0	0	0.24	0.557	0.079	0.497	0	0.287	0.716
HHT1	NUM1	4932.YBR010W	4932.YDR150W	0	0	0	0	0	0.4	0	0.06	0.412
HHT1	SWE1	4932.YBR010W	4932.YJL187C	0	0	0	0	0.051	0	0	0.655	0.658
HHT1	MED1	4932.YBR010W	4932.YPR070W	0	0	0	0	0.048	0.635	0	0.098	0.659
HHT1	RGR1	4932.YBR010W	4932.YLR071C	0	0	0	0	0.047	0.646	0	0.293	0.741
HHT1	MEC1	4932.YBR010W	4932.YBR136W	0	0	0	0	0.046	0.228	0	0.765	0.812
HHT1	NDC80	4932.YBR010W	4932.YIL144W	0	0	0	0	0.212	0	0	0.818	0.85
HHT1	SWI6	4932.YBR010W	4932.YLR182W	0	0	0	0	0	0.604	0	0.78	0.909
HHT1	SSL2	4932.YBR010W	4932.YIL143C	0	0	0	0	0	0.923	0	0	0.923
HHT1	RPO26	4932.YBR010W	4932.YPR187W	0	0	0	0	0.08	0.92	0	0.135	0.931
