BIOGRID ID	ENTREZ GENE ID	SYSTEMATIC NAME	OFFICIAL SYMBOL	SYNONYMS	ORGANISM ID	ORGANISM NAME	INTERACTION COUNT	PTM COUNT	CHEMICAL INTERACTION COUNT	SOURCE	CATEGORY VALUES	CATEGORY IDS	CATEGORY TAGS	CATEGORY EVIDENCE VALUES	CATEGORY EVIDENCE IDS	CATEGORY EVIDENCE CLASSES	CATEGORY EVIDENCE METHODS	SUBCATEGORY VALUES	SUBCATEGORY IDS	SUBCATEGORY TAGS	SUBCATEGORY EVIDENCE VALUES	SUBCATEGORY EVIDENCE IDS	SUBCATEGORY EVIDENCE CLASSES	SUBCATEGORY EVIDENCE METHODS
35540	855418	YNL298W	CLA4	ERC10|serine/threonine protein kinase CLA4|L000000564|L000002643	559292	Saccharomyces cerevisiae (S288c)	1433	15	0	BIOGRID	Kinase	-	-	-	-	-	-	STE	-	-	-	-	-	-
34656	854441	YOR267C	HRK1	putative serine/threonine protein kinase HRK1	559292	Saccharomyces cerevisiae (S288c)	211	51	0	BIOGRID	Kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
31293	850706	YLR019W	PSR2	-	559292	Saccharomyces cerevisiae (S288c)	98	7	0	BIOGRID	Phosphatase	-	-	-	-	-	-	-	-	-	-	-	-	-
34419	854179	YOR014W	RTS1	SCS1|protein phosphatase 2A regulatory subunit RTS1|L000001786	559292	Saccharomyces cerevisiae (S288c)	713	13	0	BIOGRID	Phosphatase Associated	-	-	-	-	-	-	-	-	-	-	-	-	-
33322	852971	YGR080W	TWF1	L000004372	559292	Saccharomyces cerevisiae (S288c)	103	4	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
35675	855568	YNL154C	YCK2	serine/threonine protein kinase YCK2|L000002501	559292	Saccharomyces cerevisiae (S288c)	592	16	0	BIOGRID	Kinase	-	-	-	-	-	-	CK1	-	-	-	-	-	-
31117	850515	YFL029C	CAK1	CIV1|cyclin-dependent protein kinase-activating kinase CAK1|L000003177	559292	Saccharomyces cerevisiae (S288c)	312	2	0	BIOGRID	Kinase	-	-	-	-	-	-	CMGC	-	-	-	-	-	-
36873	856866	YER129W	SAK1	PAK1|serine/threonine protein kinase SAK1|L000001333	559292	Saccharomyces cerevisiae (S288c)	223	17	0	BIOGRID	Kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
31114	850511	YFL033C	RIM15	TAK1|protein kinase RIM15|L000003524|L000003204	559292	Saccharomyces cerevisiae (S288c)	603	43	0	BIOGRID	Kinase	-	-	-	-	-	-	AGC	-	-	-	-	-	-
35629	855514	YNL207W	RIO2	protein kinase RIO2	559292	Saccharomyces cerevisiae (S288c)	477	13	0	BIOGRID	Kinase	-	-	-	-	-	-	ATYPICAL	-	-	-	-	-	-
35279	855130	YMR104C	YPK2	YKR2|putative protein kinase YPK2|L000002542	559292	Saccharomyces cerevisiae (S288c)	152	29	0	BIOGRID	Kinase	-	-	-	-	-	-	AGC	-	-	-	-	-	-
32030	851536	YDL025C	RTK1	putative serine/threonine protein kinase RTK1	559292	Saccharomyces cerevisiae (S288c)	149	27	0	BIOGRID	Kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
36639	856612	YHR205W	SCH9	HRM2|KOM1|serine/threonine protein kinase SCH9|L000001810	559292	Saccharomyces cerevisiae (S288c)	896	30	0	BIOGRID	Kinase	-	-	-	-	-	-	AGC	-	-	-	-	-	-
31198	850601	YFR040W	SAP155	L000002598	559292	Saccharomyces cerevisiae (S288c)	466	12	0	BIOGRID	Phosphatase Associated	-	-	-	-	-	-	-	-	-	-	-	-	-
32336	851877	YDR283C	GCN2	AAS1|AAS102|NDR2|serine/threonine-protein kinase GCN2|L000000681	559292	Saccharomyces cerevisiae (S288c)	439	15	0	BIOGRID	Kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
32038	851545	YDL017W	CDC7	LSD6|SAS1|serine/threonine protein kinase CDC7|L000000247	559292	Saccharomyces cerevisiae (S288c)	837	8	0	BIOGRID	Kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
35824	855731	YNL001W	DOM34	ribosome dissociation factor DOM34|L000000517	559292	Saccharomyces cerevisiae (S288c)	429	1	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
31927	851421	YDL134C	PPH21	phosphoprotein phosphatase 2A catalytic subunit PPH21|L000001472	559292	Saccharomyces cerevisiae (S288c)	380	4	0	BIOGRID	Phosphatase	-	-	-	-	-	-	PPP	-	-	-	-	-	-
35386	855248	YMR208W	ERG12	RAR1|mevalonate kinase|L000000578	559292	Saccharomyces cerevisiae (S288c)	101	2	0	BIOGRID	Kinase Metabolic/Lipid	-	-	-	-	-	-	-	-	-	-	-	-	-
35855	855765	YNR031C	SSK2	mitogen-activated protein kinase kinase kinase SSK2|L000002826	559292	Saccharomyces cerevisiae (S288c)	428	24	0	BIOGRID	Kinase	-	-	-	-	-	-	STE	-	-	-	-	-	-
35837	855746	YNR012W	URK1	uridine kinase URK1|L000002440	559292	Saccharomyces cerevisiae (S288c)	97	6	0	BIOGRID	Kinase Metabolic/Lipid	-	-	-	-	-	-	-	-	-	-	-	-	-
36030	855950	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	559292	Saccharomyces cerevisiae (S288c)	1125	37	0	BIOGRID	Kinase	-	-	-	-	-	-	CAMK	-	-	-	-	-	-
33132	852758	YGL119W	COQ8	ABC1|protein kinase COQ8|L000000010	559292	Saccharomyces cerevisiae (S288c)	148	1	0	BIOGRID	Kinase	-	-	-	-	-	-	ATYPICAL	-	-	-	-	-	-
31516	850950	YLR248W	RCK2	CLK1|CMK3|serine/threonine protein kinase RCK2|L000001593	559292	Saccharomyces cerevisiae (S288c)	171	18	0	BIOGRID	Kinase	-	-	-	-	-	-	CAMK	-	-	-	-	-	-
34303	854053	YOL100W	PKH2	serine/threonine protein kinase PKH2|L000004617	559292	Saccharomyces cerevisiae (S288c)	112	25	0	BIOGRID	Kinase	-	-	-	-	-	-	AGC	-	-	-	-	-	-
34153	853891	YKR021W	ALY1	ART6	559292	Saccharomyces cerevisiae (S288c)	71	24	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
31182	850585	YFR028C	CDC14	OAF3|phosphoprotein phosphatase CDC14|L000000254	559292	Saccharomyces cerevisiae (S288c)	895	11	0	BIOGRID	Phosphatase	-	-	-	-	-	-	DSP	-	-	-	-	-	-
32529	852088	YDR477W	SNF1	CAT1|CCR1|GLC2|HAF3|PAS14|AMP-activated serine/threonine-protein kinase catalytic subunit SNF1|L000001944	559292	Saccharomyces cerevisiae (S288c)	1402	41	0	BIOGRID	Kinase	-	-	-	-	-	-	CAMK	-	-	-	-	-	-
34460	854227	YOR061W	CKA2	YOR29-12|casein kinase 2 catalytic subunit CKA2|L000000344	559292	Saccharomyces cerevisiae (S288c)	640	4	0	BIOGRID	Kinase	-	-	-	-	-	-	CMGC	-	-	-	-	-	-
31048	850436	YCR073C	SSK22	mitogen-activated protein kinase kinase kinase SSK22|L000002827	559292	Saccharomyces cerevisiae (S288c)	107	9	0	BIOGRID	Kinase	-	-	-	-	-	-	STE	-	-	-	-	-	-
32836	852433	YBR136W	MEC1	ESR1|RAD31|SAD3|protein kinase MEC1|L000000586|S000029404|S000007656	559292	Saccharomyces cerevisiae (S288c)	778	6	0	BIOGRID	Kinase	-	-	-	-	-	-	ATYPICAL	-	-	-	-	-	-
36877	856870	YER133W	GLC7	CID1|DIS2|type 1 serine/threonine-protein phosphatase catalytic subunit GLC7|DIS2S1|PP1|L000000706	559292	Saccharomyces cerevisiae (S288c)	1058	14	0	BIOGRID	Phosphatase	-	-	-	-	-	-	PPP	-	-	-	-	-	-
