#PTM ID	Entrez Gene ID	BioGRID ID	Systematic Name	Official Symbol	Synonymns	Relationship	Identity	Author	Pubmed ID	Organism ID	Organism Name	Source Database
6	852433	32836	YBR136W	MEC1	ESR1|RAD31|SAD3|protein kinase MEC1|L000000586|S000029404|S000007656	kinase	catalytic	Chen SH (2010)	20190278	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
6	852190	32616	YBL088C	TEL1	DNA-binding protein kinase TEL1|L000002281	kinase	catalytic	Chen SH (2010)	20190278	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
12	852433	32836	YBR136W	MEC1	ESR1|RAD31|SAD3|protein kinase MEC1|L000000586|S000029404|S000007656	kinase	catalytic	Smolka MB (2007)	17563356	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
12	852190	32616	YBL088C	TEL1	DNA-binding protein kinase TEL1|L000002281	kinase	catalytic	Smolka MB (2007)	17563356	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
13	852433	32836	YBR136W	MEC1	ESR1|RAD31|SAD3|protein kinase MEC1|L000000586|S000029404|S000007656	kinase	catalytic	Smolka MB (2007)	17563356	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
13	852190	32616	YBL088C	TEL1	DNA-binding protein kinase TEL1|L000002281	kinase	catalytic	Smolka MB (2007)	17563356	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
14	852433	32836	YBR136W	MEC1	ESR1|RAD31|SAD3|protein kinase MEC1|L000000586|S000029404|S000007656	kinase	catalytic	Smolka MB (2007)	17563356	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
14	852190	32616	YBL088C	TEL1	DNA-binding protein kinase TEL1|L000002281	kinase	catalytic	Smolka MB (2007)	17563356	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
28	854776	34955	YIL035C	CKA1	casein kinase 2 catalytic subunit CKA1|L000000343	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
28	854227	34460	YOR061W	CKA2	YOR29-12|casein kinase 2 catalytic subunit CKA2|L000000344	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
28	852865	33227	YGL019W	CKB1	casein kinase 2 regulatory subunit CKB1|L000002856	kinase	regulatory	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
29	854776	34955	YIL035C	CKA1	casein kinase 2 catalytic subunit CKA1|L000000343	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
29	854227	34460	YOR061W	CKA2	YOR29-12|casein kinase 2 catalytic subunit CKA2|L000000344	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
29	852865	33227	YGL019W	CKB1	casein kinase 2 regulatory subunit CKB1|L000002856	kinase	regulatory	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
30	854776	34955	YIL035C	CKA1	casein kinase 2 catalytic subunit CKA1|L000000343	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
30	854227	34460	YOR061W	CKA2	YOR29-12|casein kinase 2 catalytic subunit CKA2|L000000344	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
30	852865	33227	YGL019W	CKB1	casein kinase 2 regulatory subunit CKB1|L000002856	kinase	regulatory	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31	854776	34955	YIL035C	CKA1	casein kinase 2 catalytic subunit CKA1|L000000343	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31	854227	34460	YOR061W	CKA2	YOR29-12|casein kinase 2 catalytic subunit CKA2|L000000344	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31	852865	33227	YGL019W	CKB1	casein kinase 2 regulatory subunit CKB1|L000002856	kinase	regulatory	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
32	854776	34955	YIL035C	CKA1	casein kinase 2 catalytic subunit CKA1|L000000343	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
32	854227	34460	YOR061W	CKA2	YOR29-12|casein kinase 2 catalytic subunit CKA2|L000000344	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
32	852865	33227	YGL019W	CKB1	casein kinase 2 regulatory subunit CKB1|L000002856	kinase	regulatory	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
33	854776	34955	YIL035C	CKA1	casein kinase 2 catalytic subunit CKA1|L000000343	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
33	854227	34460	YOR061W	CKA2	YOR29-12|casein kinase 2 catalytic subunit CKA2|L000000344	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
33	852865	33227	YGL019W	CKB1	casein kinase 2 regulatory subunit CKB1|L000002856	kinase	regulatory	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
34	854776	34955	YIL035C	CKA1	casein kinase 2 catalytic subunit CKA1|L000000343	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
34	854227	34460	YOR061W	CKA2	YOR29-12|casein kinase 2 catalytic subunit CKA2|L000000344	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
34	852865	33227	YGL019W	CKB1	casein kinase 2 regulatory subunit CKB1|L000002856	kinase	regulatory	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
35	854776	34955	YIL035C	CKA1	casein kinase 2 catalytic subunit CKA1|L000000343	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
35	854227	34460	YOR061W	CKA2	YOR29-12|casein kinase 2 catalytic subunit CKA2|L000000344	kinase	catalytic	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
35	852865	33227	YGL019W	CKB1	casein kinase 2 regulatory subunit CKB1|L000002856	kinase	regulatory	Upton T (1995)	7608180	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
