Inserted List,ORF Name,Gene Name,UniProt_Acc,Description
YMR056C,YMR056C,AAC1,P04710,"Mitochondrial inner membrane ADP/ATP translocator, exchanges cytosolic ADP for mitochondrially synthesized ATP; phosphorylated; Aac1p is a minor isoform while Pet9p is the major ADP/ATP translocator"
YBR085W,YBR085W,AAC3,P18238,"Mitochondrial inner membrane ADP/ATP translocator, exchanges cytosolic ADP for mitochondrially synthesized ATP; expressed under anaerobic conditions; similar to Pet9p and Aac1p; has roles in maintenance of viability and in respiration"
YJR155W,YJR155W,AAD10,P47182,Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role
YNL331C,YNL331C,AAD14,P42884,Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role
YOL165C,YOL165C,AAD15,Q08361,Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role
YFL057C,YFL057C,AAD16,P43546,Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role
YCR107W,YCR107W,AAD3,P25612,Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role
YDL243C,YDL243C,AAD4,Q07747,Putative aryl-alcohol dehydrogenase; involved in oxidative stress response; similar to P. chrysosporium aryl-alcohol dehydrogenase; expression induced in cells treated with the mycotoxin patulin
YFL056C,YFL056C,AAD6,P43547,Putative aryl-alcohol dehydrogenase; involved in oxidative stress response; similar to P. chrysosporium aryl-alcohol dehydrogenase; expression induced in cells treated with the mycotoxin patulin
YNL141W,YNL141W,AAH1,P53909,"Adenine deaminase (adenine aminohydrolase), converts adenine to hypoxanthine; involved in purine salvage; transcriptionally regulated by nutrient levels and growth phase; Aah1p degraded upon entry into quiescence via SCF and the proteasome"
YHR047C,YHR047C,AAP1,P37898,"Arginine/alanine aminopeptidase, overproduction stimulates glycogen accumulation"
YBL074C,YBL074C,AAR2,P32357,"Component of the U5 snRNP, required for splicing of U3 precursors; originally described as a splicing factor specifically required for splicing pre-mRNA of the MATa1 cistron"
YKL106W,YKL106W,AAT1,Q01802,"Mitochondrial aspartate aminotransferase, catalyzes the conversion of oxaloacetate to aspartate in aspartate and asparagine biosynthesis"
YLR027C,YLR027C,AAT2,P23542,"Cytosolic aspartate aminotransferase, involved in nitrogen metabolism; localizes to peroxisomes in oleate-grown cells"
YBR236C,YBR236C,ABD1,P32783,"Methyltransferase, catalyzes the transfer of a methyl group from S-adenosylmethionine to the GpppN terminus of capped mRNA"
YKL112W,YKL112W,ABF1,P14164,"DNA binding protein with possible chromatin-reorganizing activity involved in transcriptional activation, gene silencing, and DNA replication and repair"
YMR072W,YMR072W,ABF2,Q02486,"Mitochondrial DNA-binding protein involved in mitochondrial DNA replication and recombination, member of HMG1 DNA-binding protein family; activity may be regulated by protein kinase A phosphorylation"
YJR108W,YJR108W,ABM1,P47146,"Protein of unknown function, required for normal microtubule organization"
YCR088W,YCR088W,ABP1,P15891,"Actin-binding protein of the cortical actin cytoskeleton, important for activation of the Arp2/3 complex that plays a key role actin in cytoskeleton organization"
YOR239W,YOR239W,ABP140,Q08641,AdoMet-dependent tRNA methyltransferase and actin binding protein; C-terminal domain is responsible for 3-methylcytidine modification of residue 32 of the tRNA anticodon loop of tRNA-Thr and tRNA-Ser and contains an S-adenosylmethionine (AdoMet) binding motif; N-terminal actin binding sequence interacts with actin filaments and localizes to actin patches and cables; N- and C-terminal domains are encoded in separate ORFs that are translated into one protein via a +1 frameshift
YNR033W,YNR033W,ABZ1,P37254,"Para-aminobenzoate (PABA) synthase, has similarity to Escherichia coli PABA synthase components PabA and PabB; required for the synthesis of para-aminobenzoic acid, an important intermediate for folate and ubiquinone Q biosynthesis"
YMR289W,YMR289W,ABZ2,Q03266,"Aminodeoxychorismate lyase (4-amino-4-deoxychorismate lyase), catalyzes the third step in para-aminobenzoic acid biosynthesis; involved in folic acid biosynthesis"
YER045C,YER045C,ACA1,P39970,"Basic leucine zipper (bZIP) transcription factor of the ATF/CREB family, may regulate transcription of genes involved in utilization of non-optimal carbon sources"
YGR037C,YGR037C,ACB1,P31787,"Acyl-CoA-binding protein, transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes; subject to starvation-induced, Grh1p-mediated unconventional secretion"
YNR016C,YNR016C,ACC1,Q00955,"Acetyl-CoA carboxylase, biotin containing enzyme that catalyzes the carboxylation of acetyl-CoA to form malonyl-CoA; required for de novo biosynthesis of long-chain fatty acids"
YLR131C,YLR131C,ACE2,P21192,"Transcription factor that activates genes required for cytokinesis; phosphorylation by Cbk1p blocks nuclear exit of Ace2p during the M-to-G1 transition, causing its specific localization to daughter cell nuclei; phosphorylation by Cdc28p and Pho85p prevents nuclear import during cell cycle phases other than cytokinesis; part of the RAM network that regulates cellular polarity and morphogenesis"
YLR144C,YLR144C,ACF2,Q12168,"Intracellular beta-1,3-endoglucanase, expression is induced during sporulation; may have a role in cortical actin cytoskeleton assembly"
YJR083C,YJR083C,ACF4,P47129,"Protein of unknown function, computational analysis of large-scale protein-protein interaction data suggests a possible role in actin cytoskeleton organization; potential Cdc28p substrate"
YBL015W,YBL015W,ACH1,P32316,"Protein with CoA transferase activity, particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth"
YDL203C,YDL203C,ACK1,Q07622,Protein that functions upstream of Pkc1p in the cell wall integrity pathway; GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS; non-tagged Ack1p is detected in purified mitochondria
YDR161W,YDR161W,ACL4,Q03771,Putative protein of unknown function; non-essential gene; proposed function in rRNA and ribosome biosynthesis based on transcriptional co-regulation; genetic interactions suggest a role in ER-associated protein degradation (ERAD)
YPL267W,YPL267W,ACM1,Q08981,"Pseudosubstrate inhibitor of the anaphase-promoting complex/cyclosome (APC/C), that suppresses APC/C [Cdh1]-mediated proteolysis of mitotic cyclins; associates with Cdh1p, Bmh1p and Bmh2p; cell cycle regulated protein"
YLR304C,YLR304C,ACO1,P19414,"Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy"
YJL200C,YJL200C,ACO2,P39533,"Putative mitochondrial aconitase isozyme; similarity to Aco1p, an aconitase required for the TCA cycle; expression induced during growth on glucose, by amino acid starvation via Gcn4p, and repressed on ethanol"
YKL192C,YKL192C,ACP1,P32463,"Mitochondrial matrix acyl carrier protein, involved in biosynthesis of octanoate, which is a precursor to lipoic acid; activated by phosphopantetheinylation catalyzed by Ppt2p"
